"","date","prod_index_us","growth_prod_us","log_prod_us","CPI_us","inflation_us","log_inflation_us","credit_us","growth_credit_us","log_credit_us","uncertainty_index","growth_uncertainty","log_uncertainty","er_us","log_er_us","FFR","dummy"
"44","2018-08",104.1802,4.50646919683251,4.64612209206947,106.383086445276,2.69918010418755,4.66704660229126,12804.4082,3.87541344507865,9.45754478124387,188.127702469692,34.0411006840929,5.23712100068736,120.72,4.79347381445959,1.91,0
"45","2018-09",104.1665,4.3931375015158,4.64599058050707,106.506706270014,2.27697219419842,4.66820795283847,12845.0314,3.77867031255716,9.46071235407194,204.084528726219,27.633970367962,5.31853426452334,121.03,4.79603844875051,1.95,0
"46","2018-10",104.0476,2.97654099708928,4.64484848673989,106.694878426442,2.52246992860667,4.6699731574035,12890.3158,3.60434795174962,9.46423159524523,230.481945136148,50.4099630205995,5.44017253024147,121.8,4.8023803552758,2.19,0
"47","2018-11",103.9603,2.7011834904076,4.6440090954944,106.337520093495,2.17660103215243,4.66661818726162,12942.6757,3.69550957068319,9.4682853241137,258.328738536289,61.323217109981,5.55423295421592,123.13,4.81324070780478,2.2,0
"48","2018-12",103.869,2.44723724156162,4.64313048977449,105.997882008464,1.91015884863204,4.66341911286022,13061.5105,4.19937628169458,9.47742505464173,273.479921946643,77.1763915583401,5.61122820763763,123,4.81218435537242,2.27,0
"49","2019-01",103.2684,1.89787360007894,4.63733142419639,106.199977216824,1.55123513819919,4.66532389427697,13160.6217,4.82185554784242,9.48498444540479,261.663111784653,79.109768484851,5.56705784348566,121.12,4.79678178968914,2.4,0
"50","2019-02",102.8157,1.09029091466843,4.63293806509539,106.648890163997,1.52013526593353,4.66954203852469,13209.476,5.1504075850378,9.48868972981062,212.928258035375,68.365881609369,5.3609552922386,120.93,4.79521186579718,2.4,0
"51","2019-03",102.9,0.607654590163142,4.63375764284,107.250534771767,1.86252274056868,4.67516754401264,13257.2813,5.424408493905,9.49230221255238,258.826595411794,59.529943649148,5.55615832168918,121.27,4.7980194646687,2.41,0
"52","2019-04",102.3826,-1.01649360945144,4.62871677629205,107.818426526367,1.99643977552966,4.68044857639419,13318.2035,5.40136965079703,9.49688706262591,201.18842849028,25.6408968293769,5.30424192409792,121.43,4.79933796506573,2.42,0
"53","2019-05",102.5756,0.0996355155235218,4.63060008768965,108.047945927929,1.79022846876644,4.68257507238746,13381.9012,5.65976947729494,9.50165841626365,253.277860508509,44.6456348999794,5.53448714895753,122.72,4.80990533761895,2.39,0
"54","2019-06",102.5928,-0.637283197805738,4.63076775483566,108.069463371826,1.64848465607683,4.68277419974178,13453.3029,5.57011415887787,9.50697992365614,335.333045950581,90.0957679532477,5.81512420498499,122.26,4.80614992460058,2.38,0
"55","2019-07",102.2012,-1.21555633740194,4.62694341938365,108.25004113629,1.81146480639374,4.68444374689444,13506.3022,5.638392246863,9.5109116851251,267.998575806972,18.0916763279432,5.59098166634365,121.76,4.80205189411338,2.4,0
"56","2019-08",102.9086,-1.22057742258125,4.63384121563536,108.24455629765,1.74977988942966,4.68439307737469,13600.147,6.21456913565128,9.51783588048926,319.89347970117,70.0406030061982,5.76798806444444,124.03,4.82052347182724,2.13,0
"57","2019-09",102.579,-1.5240024384039,4.63063323342462,108.329360341241,1.71130451316956,4.68517621921597,13701.7517,6.66966294843001,9.52527896495652,289.10990553942,41.6618434253109,5.66680691180239,124.44,4.82382367202944,2.04,0
"58","2019-10",101.7775,-2.18178987309654,4.62278905807654,108.577021901383,1.76404294442174,4.68745980041082,13739.8111,6.59018222036112,9.52805281750134,272.552272512618,18.2531986840092,5.60783042144147,123.86,4.81915189550991,1.83,0
"59","2019-11",102.0979,-1.79145308353286,4.62593215688857,108.518798229663,2.05127798189215,4.68692341354643,13805.8373,6.66911247726001,9.5328467744627,266.220100517,3.05477509990726,5.58432341218998,123.45,4.81583621579119,1.55,0
"60","2019-12",101.7632,-2.02736138790207,4.62264854563826,108.420071134138,2.28512974012121,4.68601322992991,13844.7856,5.9968186681012,9.53566394975024,280.482868674572,2.56068038855723,5.63651264885369,122.92,4.81153373726228,1.55,0
"61","2020-01",101.303,-1.90319594377371,4.61811602582106,108.84071606678,2.48657195525055,4.68988549297076,13866.4609,5.36326638733184,9.53722831852884,239.058812497681,-8.63870307618125,5.47670959905559,122.08,4.80467656753615,1.55,1
"62","2020-02",101.7038,-1.08144962296615,4.62206466715489,109.139006906678,2.33487356394604,4.6926223624559,13936.0745,5.50058533737448,9.54223604494481,234.664669563026,10.2083263763138,5.45815755706889,123.64,4.81737411726392,1.58,1
"63","2020-03",97.8746,-4.88377065111759,4.58368706745715,108.901471202488,1.53932699192061,4.69044353951238,14399.0938,8.61271986436616,9.57492055302833,355.364567257014,37.2983200167774,5.87314421254274,128.07,4.85257698943798,0.65,1
"64","2020-04",84.959,-17.0181261269005,4.44216878717954,108.173253395326,0.329096686337027,4.68373413987777,14772.3271,10.9183164230821,9.60051091897127,367.068571725777,82.4501411339928,5.90554867454086,130.74,4.87321061818458,0.05,1
"65","2020-05",86.3345,-15.8332975873404,4.45822928645364,108.175362948649,0.117926370210664,4.68375364130429,14849.3678,10.9660546589598,9.60571257093404,437.238333768375,72.6318806114858,6.08047843262424,129.97,4.8673036545935,0.05,1
"66","2020-06",91.7523,-10.5665309846305,4.51909255474037,108.767303611133,0.645733047554797,4.68921077097715,14847.7263,10.3649149236059,9.60560202139703,344.004815803158,2.58601708280655,5.84065565670319,127.06,4.84465941583839,0.08,1
"67","2020-07",95.2439,-6.80745431560491,4.55644096996128,109.317475117819,0.986081825303953,4.69425626454195,14901.1158,10.3271315815812,9.60919137503578,351.230839504085,31.0569798539009,5.86144366970552,126.13,4.8373131210991,0.09,1
"68","2020-08",96.1173,-6.59935126899016,4.5655693205861,109.662176130826,1.3096453823302,4.69740451412358,14926.4259,9.751945328238,9.61088847138581,314.029928846569,-1.83296979359465,5.74948829616408,124.25,4.82229566497674,0.1,1
"69","2020-09",96.0711,-6.34428099318574,4.56508854234048,109.814907791424,1.37132486105658,4.69879629209441,14953.2246,9.13367084297696,9.61268224786828,299.877280689862,3.7243190026135,5.70337332659942,123.41,4.81551214546509,0.09,1
"70","2020-10",96.825,-4.86600673036771,4.57290522540082,109.860474143205,1.18206616772718,4.69921114379088,14946.0541,8.77918183314761,9.61220260418126,310.641948232103,13.9751818498309,5.73864095707546,122.72,4.80990533761895,0.09,1
"71","2020-11",97.1183,-4.87727955227286,4.57592982303937,109.793390347528,1.174535784268,4.69860033006431,15005.8562,8.69211242986328,9.61619581722623,379.252531388441,42.4582631634246,5.93820229292869,120.7,4.79330812810349,0.09,1
"72","2020-12",98.138,-3.56238797522089,4.58637465140377,109.896758460364,1.36200549471972,4.69954136561847,15029.9053,8.56004371783121,9.6177971819953,302.162035429699,7.72923025836563,5.71096341464607,118.53,4.77516609309141,0.09,1
"73","2021-01",99.2645,-2.01227999170804,4.59778800461424,110.36423547678,1.39976974155998,4.70378612734388,15108.6527,8.95824687321623,9.62302288517609,289.021241054003,20.8996388940095,5.66650018386831,118.01,4.77076936663766,0.09,1
"74","2021-02",96.2231,-5.38888419115117,4.56666945358645,110.968411548539,1.67621521737435,4.70924558016779,15229.2476,9.27932108858918,9.63097304217379,222.090517434167,-5.35834906561511,5.40308503496041,118.49,4.77482856882865,0.08,1
"75","2021-03",98.8621,1.00894409785584,4.59372594981383,111.754431116755,2.61976250895848,4.71630388475906,15342.4931,6.55179633596108,9.63838158453201,221.343153028087,-37.7137808823798,5.39971422591493,120.12,4.78849124311513,0.07,1
