"","date","prod_index_ind","growth_prod_ind","log_prod_ind","CPI_ind","inflation_ind","log_inflation_ind","credit_ind","growth_credit_ind","log_credit_ind","uncertainty_index","growth_uncertainty","log_uncertainty","er_ind","BI_rate","dummy"
"1","2015-01",97.8117337598393,5.12274122059324,4.58304454693857,98.5786057326339,6.95558158392651,4.59085425766569,3667162.51515295,11.6373035072129,15.1149287643569,142.629875336488,26.5639607959135,4.96025299050065,77.32,7.75,0
"2","2015-02",94.9090260199462,2.63293310463129,4.5529188119461,98.2215271338214,6.2904385334291,4.58722540858452,3698177.32627757,12.2883574919252,15.1233506417205,118.048059288344,23.0259964964458,4.77109182365343,76.7,7.5,0
"3","2015-03",99.5010144937114,7.41438356164381,4.60016784002927,98.3876102030366,6.38412498877616,4.58891488355979,3713544.187635,11.3836667546653,15.1274972852088,106.384837122239,-4.51050213929145,4.66706305850265,75.97,7.5,0
"4","2015-04",100.809612245303,8.40938166311347,4.61323371066725,98.744688801849,6.78940278401425,4.59253761804973,3745058.30388435,10.5135854359492,15.1359477432727,100.2930155915,-4.45799496054866,4.60809605736378,76.07,7.5,0
"5","2015-05",97.5738068959136,2.38848202396811,4.58060908543275,99.2346338560336,7.14605935622692,4.59748708497181,3790548.05199644,10.5217923406039,15.1480211713528,103.014289552971,-2.78487503238596,4.63486771213102,74.69,7.5,0
"6","2015-06",100.135486130847,5.02412244218975,4.60652413030015,99.766099677522,7.2582805106687,4.60282844302226,3861172.15999311,10.4780462889289,15.1664813637351,115.781747532703,30.5527237515175,4.75170693209977,74.36,7.5,0
"7","2015-07",96.9234734678501,4.40837249038863,4.57392173381058,100.696164865127,7.26227333038507,4.61210771424383,3868143.86799697,9.83976923296746,15.1682853292786,128.859136307732,32.9337716534779,4.85871984112503,74.59,7.5,0
"8","2015-08",100.730303290661,5.72712894364467,4.6124466808769,101.086460077782,7.17555907730212,4.61597619102175,3916704.32368647,11.1951395378115,15.1807611243984,130.422781765891,23.5105642810312,4.87078134102674,73.59,7.5,0
"9","2015-09",103.347498793843,2.01189917018996,4.63809708451748,101.036635157018,6.83115286680158,4.61548317539961,3990464.08880181,11.0904178582062,15.1994180950851,178.115533688034,39.1589050322126,5.18243240540318,70.8,7.5,0
"10","2015-10",104.74333639554,6.19120366647885,4.65151294241638,100.95359362241,6.24890753364784,4.61466094216795,3955393.19214429,10.2085583574772,15.1905905707138,125.723184339105,3.20265776523869,4.83408254042744,73.55,7.5,0
"11","2015-11",102.919230438777,6.60478107286637,4.63394451010981,101.161197458929,4.89064921646289,4.61671525900858,3983121.38240015,9.78879494880054,15.1975763368187,100.661024232981,-15.5353100568375,4.61175867647011,75.06,7.5,0
"12","2015-12",100.595478067769,1.52072995037571,4.61110730703081,102.132783413837,3.35294117647007,4.62627376485456,4092104.03108303,10.4034379384076,15.2245698287713,117.153794500288,3.12210969473821,4.76348755452988,74.25,7.5,0
"13","2016-01",100.325827621987,2.57033973891174,4.60842316552824,102.655945081865,4.13613006486389,4.63138305783137,4014504.39399571,9.47167946355041,15.2054244591375,147.651034799668,3.52041215161518,4.99485161662909,74.91,7.25,0
"14","2016-02",101.912006714825,7.37862455084835,4.62410976169595,102.564599393797,4.42171119377772,4.63049283805017,3998090.26598194,8.10975010779837,15.201327371572,155.040187880852,31.3364987239227,5.04368435996352,76.11,7,0
"15","2016-03",102.046831937716,2.55858440937353,4.62543184455757,102.763899076855,4.44800810263337,4.63243411504904,4029924.25785666,8.51962584086414,15.2092581391697,169.505875953626,59.3327400208915,5.13288759261271,76.94,6.75,0
"16","2016-04",100.944437468194,0.133742427818206,4.6145702413902,102.298866483053,3.59936086115598,4.62789859257413,4035929.06783592,7.7667886678795,15.210747085434,147.751507497647,47.319837404679,4.99553185926391,75.83,6.75,0
"17","2016-05",104.441962367901,7.03893359343246,4.6486315330828,102.539686933415,3.33054393305494,4.63024991323421,4100141.77573184,8.16751877270994,15.2265321105235,130.212454008149,26.402322020764,4.86916737810439,74.96,6.75,0
"18","2016-06",108.098105176892,7.95184539838381,4.68303919606316,103.212323363736,3.45430331280201,4.63678825835767,4200214.14002871,8.78080453258536,15.250646067675,235.412513603801,103.324374195775,5.46133935230794,75.32,6.5,0
"19","2016-07",105.42539340546,8.77178626953565,4.65800353124017,103.926480561361,3.20798284677546,4.64368373147803,4161192.64713305,7.57595345821065,15.2413122851709,226.520547722758,75.7892798394974,5.42283565923119,76.63,6.5,0
"20","2016-08",106.84502369355,6.07038815841223,4.67137940785469,103.909872254439,2.79306662285383,4.64352391047721,4177312.90867826,6.65377223947559,15.2451787529738,146.434505693759,12.2767845548715,4.9865782683851,75.64,5.25,0
"21","2016-09",103.395084166628,0.0460440488065483,4.63855741903536,104.14238855134,3.07388838661882,4.6457590834362,4243803.29025796,6.34861499360637,15.2609704275612,153.964442616968,-13.5592278623859,5.03672168365634,76.25,5,0
"22","2016-10",104.806783559254,0.0605739380636239,4.65211849841097,104.291863313634,3.30673685942267,4.64719334663028,4246406.03297,7.35736819802602,15.2615835438448,131.268367130561,4.41062865262676,4.87724383172341,77.63,4.75,0
"23","2016-11",105.020917736787,2.04207443939275,4.65415954685737,104.781808367819,3.57905105893983,4.65188017254291,4314909.07308833,8.32984131877628,15.2775868099922,240.834406139737,139.252886581327,5.48410958586802,77.35,4.75,0
"24","2016-12",104.901954304824,4.28098391674607,4.65302614539863,105.221928501239,3.02463614928121,4.65607172441106,4413414.45779831,7.85196134493775,15.3001592013124,231.035287788262,97.2068329273742,5.44257045984317,78.52,4.75,0
"25","2017-01",103.783698044373,3.44664031620525,4.64230890680226,106.243339376912,3.49458016502227,4.66573211762224,4346797.57594675,8.27731518859549,15.2849499425068,274.593023456417,85.9743305077295,5.61529008680726,78.41,4.75,0
"26","2017-02",105.758491014956,3.77431906614734,4.66115810798869,106.492463980734,3.82964942109896,4.66807422190154,4342577.60001843,8.61629705981344,15.2839786468326,207.165375218547,33.620436127021,5.33351738840263,77.78,4.75,0
"27","2017-03",108.312239354425,6.13973731250479,4.685018161051,106.475855673813,3.61212121212129,4.66791825215936,4402974.73588235,9.25700966459602,15.2977909467887,244.955523436261,44.5115233074731,5.50107665707004,77.6,4.75,0
